颈部前屈,颈部后仰,肩部上举范围,肩部前伸范围,肘部屈伸,手腕背伸,手腕桡偏/尺偏,背部屈曲范围,持续时间,重复频率,疲劳等级
14,5,6,75,13,8,25,21,1,295,2
28,8,39,97,101,0,6,22,25,2,0
10,1,53,98,49,38,28,47,2,18,1
18,56,115,101,103,12,25,21,1,85,1
39,85,89,60,123,14,18,28,1,162,2
18,31,119,63,35,38,10,56,2,135,2
54,13,138,48,19,22,12,25,1,190,2
10,89,180,63,180,56,30,17,1,184,2
41,19,145,2,87,51,10,60,4,76,2
17,82,162,0,144,25,4,23,1,187,2
6,22,55,59,109,4,10,5,5,44,0
21,7,154,0,147,12,6,50,1,270,2
33,1,105,0,62,12,1,9,1,150,2
0,75,171,31,175,40,28,32,1,191,2
56,71,95,45,9,59,11,53,1,123,2
29,15,67,0,102,55,0,43,14,6,1
21,46,164,111,19,10,17,14,1,234,2
41,89,54,0,38,48,10,32,2,132,2
38,15,180,4,16,36,29,35,1,273,2
32,54,0,47,66,42,30,60,2,110,2
60,79,155,85,100,30,1,37,1,182,2
49,21,132,69,39,30,7,18,1,39,1
43,84,11,98,47,24,25,39,1,212,2
12,72,49,43,67,32,30,0,1,129,2
59,9,148,82,65,24,28,50,1,287,2
38,45,56,100,76,36,26,36,1,213,2
53,60,18,38,90,30,14,19,1,285,2
54,76,180,104,50,48,7,37,2,113,2
52,48,48,82,42,21,28,20,2,100,2
54,70,114,112,31,15,19,27,2,86,2
16,66,98,93,9,17,18,19,2,134,2
21,30,131,32,29,21,4,56,1,298,2
2,90,32,103,78,5,3,6,1,158,2
8,11,61,120,32,39,23,54,2,137,2
32,84,137,74,81,12,10,43,5,26,2
39,31,20,93,18,60,11,18,1,164,2
36,73,138,66,0,57,23,10,1,257,2
31,76,31,85,53,14,18,7,15,13,2
57,58,60,7,67,50,18,9,3,79,2
52,79,78,46,28,46,8,10,1,272,2
12,90,149,44,56,2,12,57,1,131,2
12,15,150,8,25,37,24,11,5,49,2
4,12,47,37,59,3,21,20,1,262,2
21,89,83,73,57,11,23,11,7,34,2
6,81,104,55,161,20,0,28,1,243,2
28,67,0,100,172,44,10,54,1,155,2
2,62,62,17,180,9,10,0,1,158,2
60,24,97,77,104,40,18,20,17,16,2
38,27,180,68,132,45,10,20,1,80,1
47,85,173,68,52,13,19,12,1,251,2
10,57,7,47,175,38,12,34,1,240,2
7,40,130,76,42,60,12,41,105,2,2
34,73,53,20,1,16,23,48,1,233,2
14,24,86,83,93,50,12,2,2,98,2
15,57,156,10,52,47,2,2,1,283,2
0,81,44,60,47,39,8,49,1,283,2
1,16,103,37,159,37,2,4,1,243,2
15,37,77,41,180,49,11,38,3,106,2
30,56,65,28,139,3,16,44,1,206,2
32,3,4,61,36,56,24,53,1,189,2
22,74,142,12,161,12,19,27,2,58,1
58,0,103,103,136,54,9,60,1,167,2
32,20,9,11,87,53,25,48,5,26,2
0,6,47,0,77,40,1,50,1,255,2
33,59,165,43,0,41,12,39,1,163,2
46,78,73,53,1,33,9,10,2,190,2
8,32,100,11,162,46,13,56,1,143,2
11,58,135,53,61,32,0,7,1,195,2
57,42,116,120,164,17,21,13,2,155,2
0,86,162,120,51,0,29,26,1,172,2
18,35,128,110,177,38,18,9,1,179,2
60,13,141,29,177,38,17,19,1,232,2
33,59,4,9,106,55,7,2,1,257,2
41,29,142,95,34,39,4,52,7,43,2
42,42,87,0,167,45,16,38,1,185,2
59,45,40,0,50,5,27,33,5,55,2
53,85,156,53,104,55,14,23,1,220,2
31,87,5,89,61,35,18,57,2,86,2
53,56,82,91,10,3,11,2,3,86,2
15,25,104,68,81,1,9,10,2,126,2
17,28,153,70,132,60,15,46,20,3,1
49,13,114,81,163,50,15,16,8,23,2
49,80,91,112,177,17,27,22,6,23,2
37,67,175,99,169,8,11,56,1,222,2
58,44,88,80,0,18,16,47,1,292,2
26,60,103,118,16,56,23,8,1,220,2
58,90,71,0,17,27,22,49,1,138,2
48,1,61,0,61,30,4,58,2,121,2
5,88,151,99,91,6,4,25,8,25,2
55,0,13,73,129,32,20,31,1,299,2
13,1,63,13,3,15,21,44,1,207,2
58,1,26,53,121,39,0,5,1,130,2
32,69,15,65,54,48,6,34,2,173,2
32,84,151,30,36,35,0,30,3,83,2
9,60,99,120,0,9,8,47,5,40,2
33,14,164,59,133,8,0,10,1,244,2
60,31,17,104,116,36,25,19,1,198,2
60,65,142,118,116,29,23,38,4,67,2
41,27,159,52,115,60,16,49,2,117,2
39,26,75,74,141,41,11,59,16,13,2
45,54,22,120,53,54,0,14,4,41,2
59,14,117,19,150,55,21,31,1,189,2
23,1,23,39,139,60,19,4,25,5,2
22,86,106,0,156,17,22,4,3,71,2
52,27,117,30,141,29,12,43,1,166,2
9,0,81,28,97,24,0,24,2,32,0
56,18,28,117,41,57,7,7,1,65,1
22,29,121,15,95,37,27,33,2,78,2
40,12,131,13,95,55,8,10,1,273,2
51,0,16,65,167,41,7,12,1,236,2
36,45,22,1,43,26,16,48,7,27,2
52,14,121,95,180,29,17,41,2,115,2
58,36,3,54,88,2,24,53,1,247,2
7,2,86,83,109,0,23,0,2,112,2
16,29,169,0,105,46,28,47,2,171,2
49,62,64,90,134,41,0,50,1,93,1
26,68,45,54,157,19,21,9,1,254,2
21,75,101,68,33,0,2,25,1,138,2
0,24,89,12,148,47,8,49,6,40,2
3,51,179,86,98,29,12,14,3,108,2
35,77,81,15,156,9,0,12,3,43,2
13,18,8,108,154,4,0,29,3,6,0
47,16,129,19,15,42,30,58,1,212,2
58,90,147,47,119,57,19,19,2,100,2
46,40,32,62,97,56,28,59,1,292,2
60,0,20,41,178,15,18,25,6,37,2
25,43,133,3,72,33,11,59,21,10,2
6,47,101,71,33,26,28,26,1,198,2
30,11,50,1,86,52,29,14,7,41,2
8,21,120,58,156,19,11,40,5,57,2
48,51,128,19,0,13,0,12,1,131,2
51,26,65,24,165,21,17,50,1,233,2
6,8,76,69,115,26,4,0,1,132,2
7,54,2,15,47,43,8,12,1,184,2
18,40,128,60,84,32,24,1,8,24,2
14,17,31,34,22,54,24,3,1,269,2
36,83,66,67,105,5,9,17,3,85,2
37,70,88,62,134,57,28,49,1,265,2
15,33,39,110,23,51,22,1,5,34,2
23,39,76,11,163,38,0,34,1,169,2
60,67,56,79,24,52,3,35,1,166,2
21,26,72,90,90,41,17,3,1,200,2
53,6,135,84,170,37,0,21,4,57,2
29,20,162,76,133,20,6,45,3,32,1
18,32,65,77,146,50,6,50,2,140,2
44,8,157,118,9,7,17,34,44,6,2
12,15,86,51,47,49,6,14,2,149,2
21,0,90,14,90,24,19,42,1,196,2
43,7,59,69,163,31,6,41,4,53,2
57,89,144,29,179,1,12,34,1,275,2
16,59,152,110,79,29,29,30,3,104,2
21,5,103,68,15,2,27,42,4,60,2
54,85,61,64,96,48,28,60,1,254,2
14,76,56,73,106,40,27,12,2,95,2
41,73,1,96,69,37,6,19,4,62,2
1,59,78,26,143,15,23,6,3,83,2
1,14,67,107,123,56,6,43,6,41,2
56,43,155,103,54,35,29,14,1,196,2
29,5,86,117,173,36,5,3,1,180,2
10,54,100,88,116,57,3,30,1,261,2
49,33,10,6,20,14,15,28,1,204,2
47,65,69,120,180,12,19,40,1,48,1
59,78,78,117,44,24,7,24,3,91,2
40,80,175,35,131,35,24,45,2,169,2
45,85,87,17,142,37,24,5,1,147,2
47,82,118,0,145,8,13,48,1,183,2
2,20,5,84,68,48,9,55,1,130,2
39,54,61,22,126,36,0,51,2,124,2
3,17,68,68,8,4,22,0,1,293,2
50,72,31,96,2,12,20,3,1,223,2
57,27,66,11,72,36,20,17,1,146,2
12,27,116,0,158,0,11,1,2,112,2
23,49,180,63,126,45,19,25,36,7,2
37,29,133,61,65,42,24,11,1,205,2
36,54,45,78,58,17,18,14,2,167,2
33,11,74,86,16,5,19,11,1,220,2
39,56,4,28,124,21,29,31,1,252,2
40,38,165,86,83,54,22,12,2,87,2
31,78,99,86,170,23,5,28,1,226,2
8,65,170,21,53,1,26,0,1,177,2
33,59,1,24,154,16,20,49,2,3,1
0,9,85,70,88,21,19,9,1,245,2
59,85,30,113,73,3,8,33,1,248,2
17,53,114,46,91,3,12,55,5,38,2
49,5,39,42,84,41,19,32,1,62,1
34,41,0,24,124,49,16,17,3,78,2
6,89,24,52,45,56,9,34,1,104,1
26,39,114,60,116,45,30,46,1,254,2
56,74,19,85,20,59,7,27,1,247,2
11,54,8,109,38,54,18,0,1,120,1
47,5,63,18,92,45,2,60,3,80,2
60,56,154,64,51,13,28,60,5,14,1
28,76,156,103,136,36,15,60,1,277,2
4,0,144,31,71,7,9,1,3,63,2
11,17,31,3,15,52,7,50,3,86,2
15,74,114,0,71,51,28,47,1,278,2
23,76,147,76,24,40,1,11,2,153,2
22,54,0,113,180,12,8,19,2,119,2
47,64,129,70,5,19,4,49,18,8,2
38,0,180,3,48,20,13,50,1,258,2
1,6,74,120,173,2,21,3,4,61,2
1,3,0,4,96,31,27,2,1,223,2
12,82,4,10,22,27,2,51,1,227,2
36,58,163,23,92,31,13,34,1,136,2
39,51,180,108,180,56,20,30,1,122,2
54,70,47,56,51,5,23,16,2,125,2
58,12,171,64,72,45,30,25,2,114,2
57,83,111,46,147,6,13,32,1,214,2
60,37,53,30,36,36,14,56,1,140,2
34,42,144,119,47,39,3,22,2,136,2
33,22,90,2,68,12,12,41,2,156,2
22,17,88,116,25,14,27,37,1,298,2
9,16,51,109,39,41,4,42,1,207,2
40,23,180,21,93,47,0,48,2,135,2
4,0,90,59,63,32,11,34,1,154,2
45,20,160,30,156,8,4,50,2,123,2
11,0,0,81,151,9,5,31,1,264,1
36,24,172,15,170,41,2,17,1,186,2
8,79,139,120,171,32,0,2,1,277,2
9,9,108,59,180,57,8,5,6,28,2
48,58,76,31,166,13,24,5,40,5,2
2,9,1,38,80,45,1,9,2,157,2
45,46,153,31,44,57,10,4,4,18,1
18,46,180,27,77,50,7,9,1,230,2
33,58,133,15,61,57,9,22,2,163,2
36,58,149,67,40,56,10,22,1,166,2
26,12,90,15,82,33,10,20,7,27,2
60,23,82,98,62,6,20,31,1,246,2
42,23,83,30,128,26,9,5,41,7,2
14,59,69,34,156,19,22,41,1,219,2
58,2,31,41,5,1,12,7,1,107,0
10,37,42,64,2,21,19,48,1,174,2
39,22,109,61,53,40,1,18,21,4,1
4,30,123,35,28,13,18,60,1,282,2
7,35,95,99,128,42,18,38,1,59,1
40,62,161,99,20,41,30,0,3,66,2
31,13,116,82,143,26,12,6,1,249,2
28,26,118,95,56,0,25,42,1,198,2
53,57,130,85,72,37,23,48,2,122,2
58,29,0,84,147,8,28,60,2,70,2
19,66,13,117,45,50,0,3,1,276,2
2,73,149,109,87,52,15,34,2,122,2
0,89,55,22,77,30,15,32,76,3,2
32,27,74,9,130,47,21,35,4,34,2
13,57,145,40,102,59,26,13,1,297,2
24,35,107,102,17,0,19,8,1,272,2
3,22,43,60,169,37,13,12,1,282,2
58,19,111,88,169,56,23,60,4,69,2
5,85,10,48,4,45,17,30,10,29,2
19,90,84,73,150,52,25,35,1,180,2
2,0,22,105,156,28,2,9,1,185,2
41,28,66,2,69,6,9,58,1,48,0
60,7,62,70,42,35,15,59,7,28,2
32,20,77,103,70,7,22,60,1,276,2
31,13,35,9,162,44,4,15,3,53,2
3,37,21,1,98,24,11,27,1,147,1
20,53,143,65,2,2,12,25,2,147,2
33,43,59,64,129,52,0,28,2,40,1
59,85,84,21,147,42,17,32,1,143,2
13,20,37,53,128,54,9,31,2,183,2
47,60,11,3,58,56,20,55,1,228,2
22,61,140,27,119,34,20,4,1,199,2
31,67,137,108,101,42,15,60,1,28,1
2,0,0,27,44,0,8,39,1,144,2
10,6,83,88,160,2,15,21,2,183,1
10,45,2,65,39,12,14,51,3,80,2
29,27,129,79,34,25,24,0,5,24,1
20,23,84,42,77,12,24,22,1,246,2
27,43,98,66,76,60,0,30,1,201,2
59,26,53,5,27,11,24,47,9,24,2
5,81,88,51,103,39,20,16,1,214,2
25,55,44,40,103,29,4,51,1,246,2
41,13,1,33,137,24,16,18,1,295,2
3,59,124,113,172,10,4,13,1,217,2
33,63,167,96,177,3,12,41,1,221,2
0,0,138,42,97,9,11,36,1,253,2
5,20,76,34,135,21,16,49,4,50,2
46,57,174,108,140,41,26,18,16,15,2
28,5,2,60,169,33,1,27,1,208,2
37,2,39,120,42,10,26,58,1,267,2
0,69,9,98,98,14,27,2,2,165,2
45,54,32,99,95,49,11,23,57,5,2
35,32,103,93,60,16,18,9,1,293,2
9,51,56,97,153,2,3,21,2,126,2
19,28,60,85,121,53,23,49,9,5,1
2,52,37,42,158,22,3,2,4,67,2
59,76,172,85,163,5,19,37,1,188,2
45,84,101,104,73,25,10,55,1,271,2
1,90,103,41,142,39,21,56,1,185,2
49,39,155,11,148,54,28,6,1,293,2
18,60,97,39,4,28,28,45,1,192,2
33,6,107,14,172,34,29,60,1,259,2
10,31,169,58,8,26,8,53,1,99,1
57,85,101,45,85,0,24,56,4,25,1
30,88,118,44,66,5,26,10,2,27,1
25,70,86,25,7,34,2,16,1,219,2
0,8,0,69,137,59,28,21,1,183,2
32,14,31,65,43,6,13,5,1,189,1
30,87,127,111,178,10,0,52,17,16,2
45,34,90,0,101,10,0,28,2,111,2
50,53,87,65,38,0,8,10,2,121,2
27,23,162,27,121,43,18,9,2,53,1
53,34,154,110,109,45,27,53,2,74,2
43,10,86,71,131,54,1,40,1,205,2
56,21,35,55,166,36,3,28,1,213,2
49,34,84,84,152,46,15,44,7,16,1
23,26,178,16,14,9,9,58,2,112,2
2,87,116,99,22,44,16,37,1,119,1
42,76,5,47,72,9,7,49,2,164,2
8,72,76,51,85,57,0,54,1,216,2
53,45,132,120,167,51,30,26,2,57,2
24,49,78,94,104,6,25,31,1,261,2
20,30,139,0,173,59,17,12,1,261,2
54,80,111,85,127,25,6,36,12,6,1
17,44,157,113,134,42,1,13,5,31,2
0,61,141,120,129,44,23,52,2,77,2
47,84,108,118,10,41,19,30,1,260,2
1,82,45,18,164,32,24,37,2,176,2
52,88,0,103,122,12,28,54,1,287,2
42,61,112,51,153,52,12,31,1,299,2
1,50,138,60,60,33,13,23,1,252,2
49,60,88,6,9,16,21,21,1,169,2
34,16,14,105,169,43,6,43,2,47,1
0,90,47,37,105,10,29,60,2,67,2
36,10,123,64,46,4,10,8,2,151,2
18,43,171,58,77,40,3,24,1,267,2
40,86,162,75,27,11,20,0,19,13,2
30,0,102,6,1,49,14,17,2,173,2
55,82,121,75,18,49,2,0,2,75,2
32,79,38,120,0,12,7,0,21,13,2
41,9,35,90,179,59,21,43,2,123,2
24,90,159,89,121,19,4,28,1,222,2
8,90,16,6,161,53,11,8,1,257,2
53,60,23,2,119,38,4,51,1,284,2
23,4,37,46,118,32,9,47,29,5,2
5,0,19,4,0,7,9,56,1,268,2
7,27,97,6,48,5,9,4,2,127,1
55,2,40,15,116,39,1,29,1,130,2
0,73,6,2,77,23,5,49,3,50,2
41,22,1,116,47,23,7,5,2,42,1
35,44,133,103,82,45,6,20,1,154,2
36,27,68,103,68,21,23,13,3,97,2
38,50,180,5,39,35,8,15,1,219,2
52,17,54,39,128,8,13,51,1,208,2
32,50,122,81,175,8,26,3,2,72,2
24,39,108,105,137,50,2,42,2,67,2
33,55,118,0,85,50,8,40,4,63,2
34,5,171,118,100,51,13,22,1,280,2
26,20,42,15,44,42,17,32,1,211,2
55,88,11,119,178,52,20,52,1,273,2
22,50,151,63,157,27,2,33,1,288,2
41,32,31,49,145,22,24,49,32,5,2
38,30,162,66,11,39,8,29,1,237,2
38,22,123,8,160,0,6,55,1,285,2
22,90,141,28,108,40,4,13,2,169,2
24,45,103,9,174,15,28,60,2,157,2
36,65,133,6,175,21,1,19,2,67,2
41,51,156,35,159,3,2,55,1,183,2
51,84,62,6,177,19,11,60,4,65,2
39,53,158,36,139,23,30,10,1,205,2
10,43,127,41,180,31,7,26,2,77,2
47,48,5,89,57,0,0,53,2,118,2
3,37,157,69,148,16,19,0,134,2,2
1,9,27,74,37,52,8,7,1,289,2
34,85,5,119,71,9,22,40,1,183,2
25,42,151,10,4,7,20,4,1,171,2
42,76,6,93,22,54,16,36,2,126,2
56,28,179,22,92,51,3,22,1,220,2
28,46,107,37,78,31,4,11,3,75,2
49,22,98,113,107,46,22,15,1,94,1
15,24,75,60,128,49,9,2,1,202,2
36,49,179,37,180,53,16,35,1,114,2
53,11,58,63,135,25,20,51,2,128,2
19,49,55,80,161,8,21,2,4,52,2
16,0,69,100,84,28,0,60,3,98,2
22,70,87,80,78,33,15,15,1,114,1
16,57,1,116,156,53,15,49,1,238,2
22,81,17,46,10,55,13,3,1,251,2
0,81,91,105,90,0,2,3,2,73,2
38,38,162,90,46,2,10,53,6,37,2
57,24,180,66,109,30,29,6,1,82,1
52,43,123,0,163,0,0,4,1,194,2
17,5,99,98,25,37,4,2,1,214,2
43,36,44,47,160,51,10,4,1,269,2
37,65,54,57,37,58,29,53,1,194,2
13,13,78,98,61,60,25,51,8,20,2
31,14,32,100,112,16,27,54,1,157,2
32,8,91,99,108,6,11,3,3,25,0
8,90,86,61,164,18,7,35,1,210,2
21,85,177,6,37,5,8,55,2,152,2
59,34,124,11,114,32,21,37,3,64,2
50,58,139,13,50,60,4,52,2,69,2
0,69,99,13,156,1,3,6,42,4,2
36,54,18,78,108,25,0,26,1,268,2
27,53,86,64,55,53,15,46,2,188,2
45,77,95,30,180,41,14,17,1,38,1
0,57,0,101,85,6,9,42,3,105,2
50,2,109,0,106,6,1,44,1,71,1
5,66,55,105,42,7,10,13,4,48,2
39,35,163,119,112,22,27,18,1,127,2
7,48,164,35,156,11,25,5,1,82,1
45,84,42,50,119,23,11,2,1,226,2
7,47,125,49,50,38,12,11,1,260,2
30,12,180,46,170,18,13,14,1,179,2
16,68,174,9,152,17,29,19,1,282,2
15,65,93,28,163,34,12,8,1,184,2
51,0,143,13,30,55,10,23,1,273,2
2,63,97,0,40,38,0,46,6,43,2
42,42,179,60,19,51,26,5,2,91,2
18,3,144,24,158,46,30,26,2,138,2
14,57,41,101,73,48,12,7,2,126,2
39,22,164,39,45,41,4,30,3,47,2
20,37,39,11,170,57,1,25,1,282,2
51,39,96,69,5,37,17,28,1,188,2
35,19,1,12,86,34,27,53,9,19,2
44,59,3,58,172,13,28,2,1,264,2
25,35,16,30,152,41,19,23,20,7,2
20,34,42,51,37,29,14,2,3,90,2
23,31,45,8,28,21,0,2,1,217,1
22,5,74,33,156,32,6,0,1,276,2
10,3,59,23,67,38,12,58,2,23,0
42,45,129,111,122,53,1,0,2,93,2
49,88,57,69,118,47,21,3,4,79,2
0,0,136,92,102,11,17,17,1,112,0
43,0,34,44,49,46,20,24,1,284,2
31,40,61,75,135,5,25,42,1,300,2
59,70,149,32,33,26,26,4,1,278,2
52,90,68,39,61,21,28,19,1,133,2
54,65,144,54,173,5,14,26,2,120,2
60,0,102,103,156,27,28,38,1,139,2
19,22,180,21,102,57,9,38,2,56,1
56,46,151,50,165,31,0,5,1,229,2
12,83,120,15,14,22,20,50,1,229,2
59,36,95,1,142,45,2,22,1,73,1
9,20,146,103,27,60,12,42,2,155,2
48,81,95,34,161,45,28,56,2,78,2
20,71,141,33,80,60,1,25,9,31,2
32,48,49,89,72,27,19,48,1,120,1
41,6,108,0,106,2,27,41,1,208,2
21,36,61,22,68,20,22,5,2,114,2
34,64,131,18,31,32,23,56,3,75,2
56,23,51,24,158,27,30,39,1,245,2
0,90,7,84,180,51,24,8,2,150,2
50,41,111,1,145,24,11,8,1,146,2
17,8,140,63,124,29,2,38,1,218,2
57,90,127,120,33,47,0,55,1,296,2
20,4,28,68,99,38,7,26,1,262,2
52,90,32,104,69,21,14,27,141,1,2
25,0,154,105,58,56,1,60,1,204,2
45,2,121,2,59,9,29,31,1,184,2
6,72,22,27,64,49,0,0,5,27,2
0,0,87,14,18,31,25,33,1,202,2
49,74,126,110,0,60,6,2,1,244,2
52,68,116,59,150,24,23,38,2,185,2
1,0,56,3,170,25,15,53,1,168,2
40,69,130,110,180,58,28,47,1,189,2
45,13,52,3,138,20,15,60,2,164,2
31,34,175,109,35,50,20,52,5,41,2
1,45,81,34,103,36,29,10,1,208,2
11,15,126,85,68,41,8,7,9,26,2
52,5,74,104,93,46,16,52,1,230,2
4,20,140,94,64,34,22,19,1,145,2
43,69,157,5,96,56,4,51,1,234,2
60,2,76,44,56,17,6,16,2,115,2
59,56,129,82,146,2,3,4,2,165,2
42,20,4,93,178,46,6,36,1,168,2
3,40,165,120,180,52,0,50,1,264,2
18,22,67,116,136,60,28,22,1,175,2
43,89,139,91,54,19,7,33,2,148,2
14,29,125,70,38,51,16,42,1,208,2
47,49,26,120,48,51,0,59,3,103,2
5,68,162,65,35,16,30,31,1,77,1
38,72,96,67,85,26,24,18,1,152,2
21,0,39,113,113,1,14,32,1,268,1
43,55,31,109,125,17,5,13,3,58,2
28,14,173,115,23,14,0,10,2,60,0
26,90,135,116,9,48,16,29,1,252,2
56,88,46,41,111,37,23,56,1,121,2
41,75,2,91,47,15,5,8,2,143,2
36,8,140,72,105,50,6,33,1,188,2
18,3,97,53,145,53,13,58,1,243,2
6,61,101,5,69,32,4,46,1,195,2
20,63,86,69,53,26,7,37,2,129,2
20,74,30,42,9,37,0,6,1,192,2
0,34,142,118,48,3,4,24,6,13,0
16,57,70,67,107,1,5,51,1,94,1
51,24,91,25,3,41,30,33,1,175,2
9,82,118,60,41,3,21,44,1,170,2
44,26,168,56,45,4,29,0,1,112,1
16,11,147,2,2,16,2,48,1,187,2
0,2,20,86,132,35,1,57,1,252,2
14,68,34,27,58,9,3,40,3,73,2
36,48,89,25,127,10,24,56,1,107,1
19,41,10,75,97,28,11,53,1,207,2
42,55,117,87,45,44,20,52,1,203,2
19,76,121,24,77,59,9,5,1,197,2
56,57,158,52,57,30,11,58,2,69,2
60,75,119,10,142,31,13,36,1,202,2
18,64,0,95,180,13,23,34,1,273,2
25,14,144,52,106,7,17,59,1,214,2
43,2,131,102,105,60,20,2,1,257,2
50,75,52,95,36,25,7,50,10,24,2
15,4,23,98,0,42,22,10,1,249,2
19,22,158,35,120,25,23,39,1,259,2
42,29,37,56,50,25,7,49,1,115,1
58,32,140,42,127,12,14,41,16,17,2
57,57,68,18,178,53,19,30,1,228,2
17,88,129,28,3,5,11,41,1,218,2
20,90,176,8,109,42,3,51,4,74,2
20,74,89,55,11,32,17,40,1,212,2
47,61,178,70,101,0,2,8,1,167,2
0,0,58,32,123,18,3,20,2,78,1
3,80,0,99,156,26,21,49,1,235,2
17,0,141,33,180,19,1,27,1,163,2
42,11,39,120,176,59,4,8,2,100,2
37,41,37,66,11,44,11,28,1,139,2
29,50,63,82,115,59,8,41,1,112,1
23,9,74,83,119,28,12,16,5,47,2
52,70,94,61,102,23,25,3,1,120,1
2,83,54,106,57,19,18,18,2,132,2
22,19,58,14,9,50,25,46,4,41,2
49,19,82,22,100,39,17,45,3,87,2
5,70,50,43,161,22,20,32,1,148,2
41,88,102,111,149,17,25,37,30,5,2
51,85,72,62,134,12,10,44,1,207,2
52,42,36,59,167,0,27,11,2,101,2
30,4,0,89,72,24,19,30,7,42,2
27,61,156,1,158,21,22,38,3,70,2
17,77,19,69,4,3,7,18,1,66,0
40,82,105,34,16,25,2,0,66,2,2
49,80,131,107,160,17,24,44,2,126,2
14,21,72,30,39,1,15,58,2,132,2
1,14,167,63,126,1,11,15,1,128,2
39,8,36,90,99,2,8,10,1,254,2
27,45,40,116,6,27,17,34,1,229,2
60,87,96,52,93,6,22,10,2,100,2
10,7,131,59,3,4,4,38,1,268,2
27,68,12,62,152,16,28,51,75,3,2
33,20,46,88,50,24,19,48,1,109,1
1,62,180,119,102,41,12,48,2,73,2
56,85,180,1,101,35,9,35,1,256,2
46,65,59,102,147,56,13,42,110,1,1
58,84,56,2,73,46,25,58,2,143,2
16,60,166,69,178,8,10,25,4,48,2
18,62,54,92,74,58,0,56,1,222,2
25,23,125,61,109,12,12,43,2,62,2
23,49,12,10,83,54,20,44,4,64,2
37,26,106,96,22,36,24,0,5,58,2
52,1,164,1,65,47,27,16,1,276,2
53,48,62,29,147,32,9,35,1,256,2
27,52,84,81,176,58,23,18,1,206,2
1,60,0,47,87,47,16,32,2,145,2
0,32,12,23,32,41,23,15,8,28,2
57,32,0,57,91,35,28,53,2,172,2
4,35,32,116,71,27,23,0,1,219,2
21,52,59,87,112,23,11,53,1,266,2
2,82,4,97,81,50,5,12,2,122,2
60,19,65,18,130,22,9,0,1,241,2
48,60,71,82,19,12,0,58,1,193,2
44,84,168,85,21,49,26,11,2,126,2
0,22,164,6,141,0,28,22,3,96,2
43,56,81,89,78,6,2,19,30,8,2
11,40,0,11,74,50,11,36,1,284,2
6,22,105,6,63,27,12,23,1,197,2
10,15,60,117,180,46,2,29,2,67,2
28,81,56,30,100,21,20,0,2,61,2
48,65,64,0,135,28,10,33,3,66,2
11,46,47,74,178,0,22,36,1,239,2
28,47,97,28,148,11,2,0,1,70,0
8,54,106,41,68,52,30,34,1,218,2
22,74,113,43,62,29,5,33,1,226,2
23,57,113,66,176,54,0,50,1,192,2
30,5,0,0,27,44,28,7,1,238,2
31,71,62,112,52,55,22,54,1,91,1
18,39,85,65,65,38,25,7,1,175,2
45,75,133,59,61,25,12,19,1,248,2
3,14,96,90,51,49,10,15,1,216,2
